Gender,SeasonFav,Handwritting,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie.Number,BarberSalon.Money,Donation,SocialMediaFav,SocialMediaHours,ExerciseHours,StudyHours,Sleep.Weekday,SleepWeekend,MarijuanaLegal,GPAHighSchool,GPACollege,Tattoos,Ticket.Driving,Text.Driving,Chocolate
Other/Prefer not to answer,Winter,Right,Freshman,College of Science of Engineering (CSE),U.S.,Yes,Yes,Evening,1,18,0,Instagram,1,0.5,1.5,8.5,9.5,Yes,4,3.7,0,0,No,75
Female,Fall,Left,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Evening,1,25,0,TikTok,2.5,1,2.5,7.5,8,Yes,3.588,4,0,0,No,47
Female,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,0,200,30,TikTok,2,1,6,7,8,Yes,3.9,3.6,4,0,No,36
Male,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,Depends,1,45,0,Instagram,6,2,5,6,8,No,3.2,3.2,0,1,Yes,56
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,No,Depends,1,80,100,TikTok,4,1,5,9,8,Yes,3.8,3.5,2,0,No,27
Female,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Evening,2,0,50,YouTube,10,0,12,7,9,Not sure,3.8,3.2,0,0,No,73
Other/Prefer not to answer,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Evening,0,0,0,Twitter,1.5,0,4,7,9,Yes,3.5,4,1,0,Yes,35
Male,Spring,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,Evening,0,20,6,Instagram,5,1,3,7,8,Yes,4,3.5,0,0,No,50
Male,Fall,Both,Sophomore,College of Liberal Arts (CLA),International,Yes,Yes,Depends,0,35,60,Others,3,0,4,6,9,Not sure,3.84,3.7,0,-1,No,30
Female,Spring,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Depends,1,30,0,YouTube,4,1.5,3.5,7,9,Yes,4,3.7,1,-1,No,53
Male,Summer,Right,Freshman,Others,U.S.,Yes,No,Evening,0,45,50,Instagram,5,2,8,6,15,Yes,3.5,4,4,0,Yes,30
Female,Summer,Right,Freshman,Others,U.S.,Yes,Yes,Depends,0,20,100,Instagram,4,2,4,8,9,Not sure,4,3.6,0,0,Yes,40
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Evening,0,200,0,TikTok,5,2,2,8,9,Yes,3.8,0,0,0,Yes,38
